City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
584,Odweyne,SO,13.62,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
594,Dingli,MT,16.11,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
599,Doha,QA,19.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
606,Dodoma,TZ,17.12,clear sky,-6.1722,35.7395,Royal Village Hotel
607,Pacific Grove,US,11.67,clear sky,36.6177,-121.9166,Lovers Point Inn
608,Karachi,PK,14.0,haze,24.9056,67.0822,Hillside Homes
614,Kousseri,CM,20.0,dust,12.0769,15.0306,Résidence le Palmier
615,Camacha,PT,12.0,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
619,High Rock,BS,14.0,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
622,Praia Da Vitoria,PT,11.0,broken clouds,38.7333,-27.0667,Hotel Branco I
630,Huambo,AO,15.06,scattered clouds,-12.7761,15.7392,SiSHotel
641,Sindi,IN,20.0,haze,20.8,78.8667,मातोश्री पशु खाद्य भंडार सिंदी रेल्वे
642,Abeche,TD,18.02,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
650,Hwange,ZW,19.68,few clouds,-18.3693,26.5019,Hwange Colliery Guest House
651,Mahon,ES,12.0,fog,39.8885,4.2658,ARTIEM Capri
652,Bloemfontein,ZA,16.0,clear sky,-29.1211,26.214000000000002,Protea Hotel by Marriott Bloemfontein
653,Salinas,US,12.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
662,Pozoblanco,ES,10.0,clear sky,38.3791,-4.8483,Hotel Nomada
665,Santa Barbara,US,10.0,clear sky,34.7333,-120.0343,Upper Ballard Campground
672,Atar,MR,15.43,overcast clouds,20.5169,-13.0499,Oumou Elghoura
685,Port Lincoln,AU,19.18,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
692,Zhoucheng,CN,11.02,overcast clouds,35.9122,116.3117,Yingbin Restaurant
697,Shingu,JP,10.0,scattered clouds,33.7333,135.9833,Shingu UI Hotel
