City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
110,Arman,RU,59.7,150.1667,-18.39,82,78,5.96,broken clouds
111,Denham Springs,US,30.4869,-90.9562,18.89,77,90,5.14,overcast clouds
112,Qandala,SO,11.472,49.8728,21.15,71,1,2.22,clear sky
113,Tiznit,MA,29.5833,-9.5,10.81,65,91,3.32,overcast clouds
114,Kavieng,PG,-2.5744,150.7967,28.61,73,89,0.75,moderate rain
115,Harlingen,US,26.1906,-97.6961,21.67,94,1,4.12,clear sky
116,Bone,DE,51.9669,12.1396,3.33,97,100,1.34,overcast clouds
117,New Norfolk,AU,-42.7826,147.0587,26.67,64,100,2.14,light rain
118,Cocobeach,GA,1.0002,9.5823,27.0,94,40,1.54,scattered clouds
119,Marsa Matruh,EG,31.3525,27.2453,15.0,72,75,5.14,broken clouds
120,Seydisehir,TR,37.4193,31.8453,4.15,73,0,1.06,clear sky
121,Rawson,AR,-43.3002,-65.1023,30.32,17,0,10.18,clear sky
122,Puerto Ayora,EC,-0.7393,-90.3518,25.0,94,16,0.89,few clouds
123,Nemuro,JP,43.3236,145.575,-8.0,53,40,4.63,scattered clouds
124,Ponta Delgada,PT,37.7333,-25.6667,12.0,71,40,4.12,scattered clouds
125,Tura,IN,25.5198,90.2201,22.09,43,0,0.49,clear sky
126,Barentu,ER,15.1139,37.5928,14.12,37,0,1.38,clear sky
127,Rabo De Peixe,PT,37.8,-25.5833,12.0,71,40,4.12,scattered clouds
128,Guaymas,MX,27.9333,-110.9,24.0,41,20,4.03,few clouds
129,Mizdah,LY,31.4451,12.9801,11.16,45,8,2.04,clear sky
130,Tsumeb,NA,-19.2333,17.7167,21.0,88,59,1.03,broken clouds
131,Husavik,IS,66.0449,-17.3389,-3.0,74,0,8.23,clear sky
132,Ornes,NO,66.8689,13.7078,-5.0,93,75,4.12,light snow
133,Buala,SB,-8.145,159.5921,30.15,68,2,3.78,light rain
134,Lodja,CD,-3.4833,23.4333,20.17,96,42,0.44,scattered clouds
135,Qaanaaq,GL,77.484,-69.3632,-28.15,63,61,3.6,broken clouds
136,Asopos,GR,36.7333,22.8667,13.13,68,0,1.44,clear sky
137,Saskylakh,RU,71.9167,114.0833,-36.98,79,64,0.84,broken clouds
138,Sistranda,NO,63.7256,8.834,-10.0,85,20,3.6,few clouds
139,Tuatapere,NZ,-46.1333,167.6833,18.82,56,87,3.21,overcast clouds
140,Beyneu,KZ,45.3167,55.2,5.19,79,93,5.05,overcast clouds
141,Sinegorye,RU,62.0788,150.477,-25.22,84,100,2.75,overcast clouds
142,Torbay,CA,47.6666,-52.7314,4.0,100,90,3.6,overcast clouds
143,Awjilah,LY,29.1081,21.2869,10.58,87,0,1.6,clear sky
144,Longyearbyen,SJ,78.2186,15.6401,-7.0,68,75,5.66,broken clouds
145,Hazorasp,UZ,41.3194,61.0742,3.0,87,98,3.09,mist
146,Cap Malheureux,MU,-19.9842,57.6142,26.67,75,0,0.89,clear sky
147,Mahebourg,MU,-20.4081,57.7,25.0,83,40,1.03,light rain
148,Yokadouma,CM,3.5167,15.05,19.34,43,58,0.62,broken clouds
149,Tulle,FR,45.3333,1.8333,8.33,54,100,0.7,overcast clouds
150,Tagusao,PH,9.1924,117.8141,28.24,68,94,3.18,overcast clouds
151,Usak,TR,38.5,29.4167,4.67,77,0,1.66,clear sky
152,Weligama,LK,5.9667,80.4167,25.64,80,17,1.68,few clouds
153,Sola,VU,-13.8833,167.55,24.68,90,100,4.19,overcast clouds
154,Caluquembe,AO,-13.7833,14.6833,15.41,69,46,1.39,scattered clouds
155,Tasiilaq,GL,65.6145,-37.6368,-3.0,80,75,5.14,broken clouds
156,Sierra Vista,US,31.5545,-110.3037,11.67,25,1,5.66,clear sky
157,Tacuati,PY,-23.45,-56.5833,21.42,77,6,1.72,clear sky
158,Sabang,ID,5.8933,95.3214,27.44,76,49,11.44,scattered clouds
159,Taoudenni,ML,22.6783,-3.9836,19.37,21,11,2.71,few clouds
160,Esperance,AU,-33.8667,121.9,17.0,55,90,5.66,overcast clouds
161,Warrington,GB,53.3925,-2.5802,7.22,100,90,1.54,mist
162,Lakselv,NO,70.0513,24.9718,-3.0,80,90,5.66,light snow
163,Sioux Lookout,CA,50.1001,-91.917,-14.0,78,90,6.17,light snow
164,Port Hardy,CA,50.6996,-127.4199,7.0,100,90,3.6,mist
165,Pisco,PE,-13.7,-76.2167,22.22,78,0,5.14,clear sky
166,Kawalu,ID,-7.3817,108.2082,29.67,61,100,0.59,overcast clouds
167,Bereda,ES,43.2686,-7.5406,6.67,100,62,2.68,broken clouds
168,Ponta Do Sol,PT,32.6667,-17.1,10.0,68,91,4.47,overcast clouds
169,Tual,ID,-5.6667,132.75,28.54,79,100,11.08,heavy intensity rain
170,Uusikaupunki,FI,60.8004,21.4084,-15.0,78,0,2.06,clear sky
171,Ostersund,SE,63.1792,14.6357,-9.0,92,90,4.63,light snow
172,Khawhai,IN,23.3667,93.1167,16.53,44,0,0.6,clear sky
173,Arona,ES,28.0996,-16.681,16.0,39,20,6.69,few clouds
174,Gizo,SB,-8.103,156.8419,29.77,70,33,4.71,light rain
175,Labuhan,ID,-6.8844,112.2051,28.1,80,88,8.11,overcast clouds
176,Barrow,US,71.2906,-156.7887,-31.0,62,90,4.63,haze
177,Samana,DO,19.2056,-69.3369,23.11,87,2,3.38,clear sky
178,Aswan,EG,24.0934,32.907,13.25,67,0,4.87,clear sky
179,Guerrero Negro,MX,27.9769,-114.0611,15.8,71,100,7.02,overcast clouds
180,Sinnamary,GF,5.3833,-52.95,24.98,81,75,6.16,broken clouds
181,Manzhouli,CN,49.6,117.4333,-12.21,88,0,9.79,clear sky
182,Airai,TL,-8.9266,125.4092,18.81,100,100,1.85,overcast clouds
183,Cabo San Lucas,MX,22.8909,-109.9124,23.0,46,20,3.91,few clouds
184,Faya,SA,18.3851,42.4509,15.0,51,0,3.6,clear sky
185,Huarmey,PE,-10.0681,-78.1522,21.12,77,91,2.04,overcast clouds
186,Yabrud,SY,33.9674,36.6574,6.67,81,100,1.34,overcast clouds
187,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-10.0,41,40,2.0,scattered clouds
188,College,US,64.8569,-147.8028,-29.44,68,40,0.91,scattered clouds
189,Margate,GB,51.3813,1.3862,7.78,89,10,0.89,clear sky
190,Auraiya,IN,26.4667,79.5167,16.19,69,42,3.41,scattered clouds
191,Dikson,RU,73.5069,80.5464,-23.86,89,100,4.44,overcast clouds
192,Calama,CL,-22.4667,-68.9333,15.0,25,0,2.06,clear sky
193,Slave Lake,CA,55.2834,-114.769,-19.0,71,90,4.63,overcast clouds
194,Mattru,SL,7.6244,-11.8332,23.39,92,0,1.15,clear sky
195,Lompoc,US,34.6391,-120.4579,11.0,82,1,2.06,clear sky
196,Mahanoro,MG,-19.9,48.8,24.22,88,75,1.23,broken clouds
197,Faanui,PF,-16.4833,-151.75,27.8,65,12,2.51,few clouds
198,Provideniya,RU,64.3833,-173.3,-20.62,89,100,12.23,light snow
199,Saldanha,ZA,-33.0117,17.9442,16.0,82,0,2.57,clear sky
200,Quatre Cocos,MU,-20.2078,57.7625,26.67,83,40,1.03,scattered clouds
201,Gokul,IN,27.45,77.7167,12.58,80,5,2.25,clear sky
