City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Januaria,BR,2021-02-04 03:37:47,-15.4833,-44.3667,71.4,91,97,1.97
237,Sisimiut,GL,2021-02-04 03:37:47,66.9395,-53.6735,-1.59,78,22,10.18
238,Ahipara,NZ,2021-02-04 03:37:48,-35.1667,173.1667,72.32,59,6,3.29
239,Batagay,RU,2021-02-04 03:37:48,67.6333,134.6333,-39.73,75,0,1.12
240,Itoman,JP,2021-02-04 03:37:48,26.1247,127.6694,71.6,49,20,8.05
241,Sarny,UA,2021-02-04 03:37:48,51.338,26.6019,37.49,98,100,13.31
242,Ulladulla,AU,2021-02-04 03:37:48,-35.35,150.4667,82.4,61,75,18.41
243,San Jose,US,2021-02-04 03:36:37,37.3394,-121.895,53.6,62,75,8.05
244,Mahanoro,MG,2021-02-04 03:37:48,-19.9,48.8,77.7,85,56,4.45
245,Kenai,US,2021-02-04 03:37:48,60.5544,-151.2583,17.6,86,90,9.22
246,Richards Bay,ZA,2021-02-04 03:32:49,-28.783,32.0377,74.08,90,100,5.12
247,Alofi,NU,2021-02-04 03:37:49,-19.0595,-169.9187,80.6,89,90,5.75
248,San Cristobal,VE,2021-02-04 03:37:49,7.7669,-72.225,67.51,71,79,1.25
249,Havoysund,NO,2021-02-04 03:37:49,70.9963,24.6622,28.4,69,20,17.27
250,Dingle,PH,2021-02-04 03:37:49,10.9995,122.6711,82.09,77,78,15.84
251,Safaga,EG,2021-02-04 03:37:49,26.7292,33.9365,64.4,42,0,17.27
252,Takhtamygda,RU,2021-02-04 03:37:49,54.1,123.5667,-14.17,78,0,2.53
253,Kamariotissa,GR,2021-02-04 03:37:49,40.4833,25.4667,50.0,93,20,8.12
254,Redcliffe,AU,2021-02-04 03:37:49,-27.2307,153.0973,84.99,57,20,10.36
255,Meulaboh,ID,2021-02-04 03:37:50,4.1363,96.1285,86.02,63,50,1.92
256,Ilulissat,GL,2021-02-04 03:37:50,69.2167,-51.1,-5.8,41,39,8.05
257,Medicine Hat,CA,2021-02-04 03:37:50,50.0501,-110.6683,3.99,71,20,5.75
258,Acapulco,MX,2021-02-04 03:37:00,16.8634,-99.8901,80.6,78,20,3.44
259,Torbay,CA,2021-02-04 03:37:50,47.6666,-52.7314,48.2,100,90,18.41
260,San Isidro,PE,2021-02-04 03:33:08,-12.1167,-77.05,73.99,83,0,11.5
261,Akdepe,TM,2021-02-04 03:37:50,42.0551,59.3788,37.4,93,84,9.22
262,Clyde River,CA,2021-02-04 03:37:51,70.4692,-68.5914,-20.2,76,90,4.61
263,Lebu,CL,2021-02-04 03:37:51,-37.6167,-73.65,58.03,89,4,13.51
264,Kiruna,SE,2021-02-04 03:34:14,67.8557,20.2251,17.6,86,90,11.5
265,Aklavik,CA,2021-02-04 03:37:51,68.2191,-135.0107,-40.0,67,24,2.3
266,Vila Velha,BR,2021-02-04 03:37:51,-20.3297,-40.2925,78.8,83,20,5.75
267,Marienburg,PL,2021-02-04 03:37:51,54.0359,19.0266,28.0,95,100,11.99
268,Grindavik,IS,2021-02-04 03:37:51,63.8424,-22.4338,33.8,75,0,25.32
269,Iwanai,JP,2021-02-04 03:33:36,42.9744,140.5089,17.96,90,100,15.64
270,Maceio,BR,2021-02-04 03:33:18,-9.6658,-35.7353,73.4,94,0,3.44
271,Yerofey Pavlovich,RU,2021-02-04 03:37:52,53.9667,121.9667,-13.99,80,30,4.0
272,Sao Filipe,CV,2021-02-04 03:37:52,14.8961,-24.4956,71.35,79,92,8.32
273,Cartagena,CO,2021-02-04 03:34:44,10.3997,-75.5144,78.8,89,0,10.36
274,Cherepovets,RU,2021-02-04 03:37:52,59.1333,37.9,21.2,93,90,8.95
275,Erenhot,CN,2021-02-04 03:37:52,43.6475,111.9767,22.8,87,0,18.95
276,Say,NE,2021-02-04 03:37:52,13.1007,2.3689,71.6,14,0,5.75
277,Jerome,US,2021-02-04 03:37:52,42.7241,-114.5186,32.0,80,1,13.8
278,Marfino,RU,2021-02-04 03:37:53,55.7028,37.3822,28.4,93,90,8.95
279,Cardonal,MX,2021-02-04 03:37:53,20.6,-99.1333,54.3,80,34,1.41
280,Grand-Santi,GF,2021-02-04 03:37:53,4.25,-54.3833,73.27,96,97,3.0
281,Iquitos,PE,2021-02-04 03:33:17,-3.7481,-73.2472,78.8,89,75,5.75
282,Tabuk,PH,2021-02-04 03:37:53,17.4189,121.4443,77.68,66,10,6.15
283,Nemuro,JP,2021-02-04 03:37:53,43.3236,145.575,19.4,45,40,9.22
284,Batsfjord,NO,2021-02-04 03:37:53,70.6345,29.7185,24.8,74,40,16.11
285,Marsaxlokk,MT,2021-02-04 03:37:53,35.8419,14.5431,57.0,94,20,5.75
286,Bethel,US,2021-02-04 03:33:06,41.3712,-73.414,30.2,64,90,9.22
287,Gao,ML,2021-02-04 03:37:54,16.6362,1.637,64.78,22,0,12.8
288,Aksarka,RU,2021-02-04 03:37:54,66.5606,67.7975,-7.89,90,95,8.95
289,Mulege,MX,2021-02-04 03:37:54,26.8833,-111.9833,69.12,36,100,0.98
290,Kropotkin,RU,2021-02-04 03:37:54,45.4375,40.5756,47.66,67,92,4.99
291,Tsumeb,NA,2021-02-04 03:37:54,-19.2333,17.7167,66.88,60,69,1.9
292,Northam,GB,2021-02-04 03:33:34,51.0333,-4.2167,41.0,93,2,4.0
293,Saint Anthony,US,2021-02-04 03:37:55,45.0205,-93.218,30.99,80,90,10.36
294,Mahebourg,MU,2021-02-04 03:37:55,-20.4081,57.7,77.0,88,40,6.91
295,Macamic,CA,2021-02-04 03:37:55,48.7502,-78.9996,14.0,85,1,4.61
